t,x,x_n,v_x,v_xn,a_x,a_xn,y,y_n,v_y,v_yn,a_y,a_yn
0.49,29.4,35.1691,60,58.1533,0,-5.73037,23.3475,19.448,45.198,51.9558,-9.8,-5.71473
0.5,30,33.499,60,63.3891,0,-1.73091,23.7995,20.5668,45.1,48.4958,-9.8,-7.74687
0.51,30.6,27.5025,60,59.6503,0,-7.34383,24.2505,23.5874,45.002,40.9185,-9.8,-10.9942
0.52,31.2,24.7308,60,65.1274,0,1.27158,24.7005,23.1854,44.904,43.7845,-9.8,-2.36372
0.53,31.8,40.959,60,57.261,0,-4.81959,25.1496,26.2838,44.806,57.2846,-9.8,-5.05528
0.54,32.4,38.3272,60,51.3889,0,-1.67523,25.5976,28.9249,44.708,44.2537,-9.8,-16.2062
0.55,33,44.883,60,62.7883,0,8.46153,26.0447,32.8891,44.61,42.0575,-9.8,-6.63931
0.56,33.6,33.0868,60,52.2878,0,4.24173,26.4908,23.7756,44.512,42.8844,-9.8,-5.48873
0.57,34.2,31.5664,60,65.325,0,0.456177,26.9359,25.6068,44.414,40.7943,-9.8,-5.64708
0.58,34.8,36.8205,60,65.3912,0,-3.53768,27.3801,22.2353,44.316,38.1044,-9.8,-7.48712
0.59,35.4,31.7884,60,61.6158,0,4.57174,27.8232,31.3778,44.218,37.7741,-9.8,-11.9249
0.6,36,26.8839,60,56.7366,0,-6.74464,28.2654,25.4008,44.12,44.6927,-9.8,-15.8206
0.61,36.6,36.7724,60,58.4892,0,-7.44447,28.7066,21.3835,44.022,39.5942,-9.8,-4.39799
0.62,37.2,30.791,60,64.0039,0,0.506545,29.1468,33.2094,43.924,46.8576,-9.8,-4.91368
0.63,37.8,43.4392,60,54.6401,0,0.580036,29.5861,35.6383,43.826,50.187,-9.8,-2.13698
0.64,38.4,40.7183,60,47.5673,0,-4.32655,30.0243,36.8939,43.728,48.8664,-9.8,-6.77359
0.65,39,36.8868,60,60.8992,0,-5.93018,30.4616,32.7199,43.63,52.4162,-9.8,-6.8246
0.66,39.6,35.1946,60,54.6068,0,1.98802,30.8979,35.473,43.532,38.3168,-9.8,-12.3949
0.67,40.2,41.9513,60,63.9665,0,5.41039,31.3332,24.7418,43.434,44.0692,-9.8,-10.3176
0.68,40.8,34.6584,60,60.062,0,4.77691,31.7676,34.3183,43.336,39.3376,-9.8,-1.98858
0.69,41.4,46.7947,60,60.6931,0,0.52646,32.2009,33.1537,43.238,43.6725,-9.8,-6.13915
0.7,42,40.4141,60,74.9054,0,6.21681,32.6333,34.5034,43.14,45.4537,-9.8,-10.7314
0.71,42.6,47.5787,60,61.1859,0,3.42276,33.0647,39.5073,43.042,46.2023,-9.8,-6.41611
0.72,43.2,35.7801,60,63.2649,0,-0.558512,33.4951,27.1759,42.944,44.5175,-9.8,-7.85596
0.73,43.8,47.935,60,61.8226,0,-6.90646,33.9246,42.7615,42.846,48.5242,-9.8,-1.26781
0.74,44.4,45.0411,60,54.1531,0,0.387984,34.353,32.0599,42.748,52.2366,-9.8,-8.94278
0.75,45,51.3701,60,60.2882,0,-5.0473,34.7805,34.6477,42.65,42.7231,-9.8,-12.9893
0.76,45.6,51.5445,60,57.8189,0,10.4868,35.207,31.5597,42.552,37.1372,-9.8,-11.122
0.77,46.2,38.8257,60,57.2822,0,1.52368,35.6325,42.1005,42.454,53.1743,-9.8,-16.7052
0.78,46.8,46.7575,60,60.9303,0,8.51889,36.0571,41.9442,42.356,38.9274,-9.8,-13.2634
0.79,47.4,48.4218,60,63.3227,0,8.44495,36.4806,35.1622,42.258,41.2517,-9.8,-4.05762
0.8,48,49.6718,60,61.1186,0,-10.1302,36.9032,39.1396,42.16,34.6107,-9.8,-10.4034
0.81,48.6,51.7994,60,59.7594,0,-6.64546,37.3248,36.443,42.062,45.736,-9.8,-6.30665
0.82,49.2,51.2664,60,58.7625,0,-8.40485,37.7454,32.866,41.964,51.9926,-9.8,-0.816776
0.83,49.8,52.1508,60,54.0547,0,-1.74785,38.1651,27.0704,41.866,43.0599,-9.8,-6.56825
0.84,50.4,43.8748,60,62.403,0,-2.52858,38.5837,32.5645,41.768,50.4652,-9.8,-4.29797
0.85,51,59.3769,60,64.571,0,-3.37123,39.0014,39.4666,41.67,43.5813,-9.8,-17.5324
0.86,51.6,54.1974,60,66.9318,0,-6.34164,39.4181,38.4091,41.572,41.2706,-9.8,-2.55378
0.87,52.2,52.6823,60,61.6156,0,-4.00112,39.8338,37.4295,41.474,45.8059,-9.8,-11.3184
0.88,52.8,54.9153,60,61.3114,0,-0.938332,40.2486,31.4443,41.376,46.1998,-9.8,-8.1749
0.89,53.4,54.3816,60,61.9057,0,-4.23709,40.6623,37.7425,41.278,38.758,-9.8,-12.0488
0.9,54,56.1899,60,54.3786,0,-2.26564,41.0751,39.4217,41.18,38.4757,-9.8,0.729222
0.91,54.6,55.4828,60,56.6812,0,-12.4357,41.4869,41.0692,41.082,38.3988,-9.8,-18.5511
0.92,55.2,54.2907,60,61.4651,0,1.41564,41.8977,35.2802,40.984,38.5333,-9.8,-10.159
0.93,55.8,59.4052,60,62.9101,0,-2.69321,42.3076,42.4441,40.886,35.4242,-9.8,-6.84511
0.94,56.4,62.4528,60,54.7774,0,4.01137,42.7164,44.228,40.788,40.0659,-9.8,-11.8492
0.95,57,60.0505,60,63.4695,0,5.80009,43.1243,48.4343,40.69,43.7768,-9.8,-11.2286
0.96,57.6,62.7539,60,55.8752,0,2.55248,43.5312,40.9658,40.592,41.2005,-9.8,-12.7823
0.97,58.2,56.2322,60,57.2018,0,0.635897,43.9371,40.7836,40.494,39.427,-9.8,-18.1785
0.98,58.8,60.3636,60,54.0488,0,12.7011,44.3421,40.7915,40.396,44.4622,-9.8,2.8097
0.99,59.4,63.1053,60,55.562,0,-6.80886,44.746,48.6029,40.298,40.4361,-9.8,-11.5484
1,60,62.8048,60,59.0091,0,-7.23886,45.149,45.7056,40.2,36.0241,-9.8,-17.9327
1.01,60.6,67.4365,60,65.5152,0,-2.05372,45.551,37.1791,40.102,46.2912,-9.8,-14.8902
1.02,61.2,57.4263,60,63.4265,0,-5.62532,45.952,50.2212,40.004,45.3617,-9.8,-8.2681
1.03,61.8,55.6506,60,65.7856,0,0.460863,46.3521,52.3297,39.906,35.6152,-9.8,-13.9875
1.04,62.4,58.4297,60,60.1338,0,4.40281,46.7511,48.0095,39.808,40.4438,-9.8,-3.21629
1.05,63,56.0625,60,53.7731,0,-0.99329,47.1492,47.1236,39.71,34.5668,-9.8,-4.62829
1.06,63.6,70.2733,60,60.1544,0,-0.314498,47.5463,43.4688,39.612,32.6948,-9.8,-10.166
1.07,64.2,62.8528,60,59.1729,0,7.60618,47.9424,51.9457,39.514,40.133,-9.8,-10.3625
1.08,64.8,64.0438,60,68.0893,0,2.63268,48.3376,56.2565,39.416,40.2006,-9.8,-8.43975
1.09,65.4,64.6351,60,60.5451,0,-3.99025,48.7317,44.1108,39.318,44.0599,-9.8,-14.0817
1.1,66,67.0881,60,58.3177,0,-5.30248,49.1249,55.5652,39.22,31.7073,-9.8,-21.1335
1.11,66.6,72.34,60,53.4406,0,1.35035,49.5171,44.5449,39.122,35.5732,-9.8,-10.834
1.12,67.2,62.797,60,61.939,0,1.95571,49.9083,43.05,39.024,49.239,-9.8,-8.04709
1.13,67.8,67.039,60,61.7973,0,1.59538,50.2986,48.0506,38.926,36.1151,-9.8,-9.70907
1.14,68.4,66.0865,60,53.3735,0,-0.846781,50.6878,44.6104,38.828,29.851,-9.8,-12.9011
1.15,69,63.6815,60,59.4586,0,5.209,51.0761,54.4405,38.73,39.2804,-9.8,-16.3638
1.16,69.6,61.2213,60,67.1958,0,4.82141,51.4634,58.4421,38.632,43.5442,-9.8,-21.4388
1.17,70.2,76.429,60,61.5007,0,6.22438,51.8497,49.1426,38.534,37.3541,-9.8,-13.8208
1.18,70.8,76.8993,60,57.7683,0,0.12924,52.2351,52.462,38.436,39.8438,-9.8,-8.46398
1.19,71.4,78.3716,60,64.3957,0,1.50865,52.6194,64.2726,38.338,38.7519,-9.8,3.7844
1.2,72,79.2116,60,62.8094,0,-3.25818,53.0028,55.975,38.24,41.7571,-9.8,-7.39611
1.21,72.6,67.472,60,62.7055,0,-1.57872,53.3852,50.0555,38.142,37.3703,-9.8,-18.5642
1.22,73.2,68.6735,60,56.8003,0,0.768809,53.7666,55.9466,38.044,30.3888,-9.8,-9.60965
1.23,73.8,69.9992,60,57.8186,0,4.1872,54.1471,64.0661,37.946,40.3207,-9.8,-11.4989
1.24,74.4,81.7357,60,65.4538,0,2.19207,54.5265,56.5897,37.848,44.5674,-9.8,-1.06085
1.25,75,78.6191,60,63.7654,0,-1.02744,54.905,52.8891,37.75,32.2836,-9.8,-12.1876
1.26,75.6,70.7223,60,49.6131,0,1.39003,55.2825,51.52,37.652,35.7337,-9.8,-5.73372
