t,x,x_n,v_x,v_xn,a_x,a_xn,y,y_n,v_y,v_yn,a_y,a_yn
2.44,146.4,147.92,60,60.0452,0,4.31767,92.9469,96.4882,26.088,27.7173,-9.8,-6.11742
2.45,147,153.9,60,56.907,0,3.25644,93.2078,95.7828,25.99,23.1621,-9.8,-19.4522
2.46,147.6,145.243,60,56.9153,0,1.23123,93.4677,87.303,25.892,25.5536,-9.8,-7.64873
2.47,148.2,140.135,60,61.3798,0,-1.93663,93.7266,91.7671,25.794,23.2617,-9.8,-13.4886
2.48,148.8,149.46,60,58.3988,0,2.66716,93.9846,95.5128,25.696,31.4171,-9.8,-8.70881
2.49,149.4,157.256,60,67.3411,0,3.0628,94.2415,93.8688,25.598,17.2147,-9.8,-16.1636
2.5,150,157.707,60,58.9569,0,0.513184,94.4975,96.4552,25.5,28.9822,-9.8,-10.3847
2.51,150.6,151.323,60,56.5549,0,-3.55429,94.7525,104.761,25.402,29.9464,-9.8,-8.3638
2.52,151.2,152.652,60,58.4186,0,7.54756,95.0065,95.2141,25.304,20.137,-9.8,-6.74949
2.53,151.8,149.551,60,63.0655,0,2.81408,95.2596,89.7952,25.206,25.9319,-9.8,-13.11
2.54,152.4,152.375,60,61.1074,0,4.09447,95.5116,101.165,25.108,23.4795,-9.8,-4.17648
2.55,153,156.659,60,55.8988,0,1.42064,95.7627,95.8461,25.01,28.0166,-9.8,-13.8347
2.56,153.6,145.807,60,58.5151,0,1.48104,96.0128,92.0294,24.912,25.8569,-9.8,-10.3822
2.57,154.2,148.194,60,58.3306,0,-4.04014,96.2619,92.4155,24.814,25.2582,-9.8,-16.749
2.58,154.8,154.84,60,70.1722,0,-0.469775,96.5101,93.6182,24.716,22.0612,-9.8,-5.29449
2.59,155.4,157.407,60,66.9731,0,5.30379,96.7572,92.5955,24.618,16.9947,-9.8,-7.92485
2.6,156,155.007,60,61.2651,0,1.75549,97.0034,93.1502,24.52,26.759,-9.8,-20.7307
2.61,156.6,162.527,60,70.8701,0,6.80907,97.2486,101.395,24.422,26.575,-9.8,-12.5131
2.62,157.2,158.421,60,57.2416,0,1.67852,97.4928,97.7471,24.324,22.3028,-9.8,-1.04293
2.63,157.8,164.557,60,60.336,0,1.07123,97.7361,111.933,24.226,27.9562,-9.8,-6.96783
2.64,158.4,160.886,60,65.983,0,-2.94993,97.9783,100.022,24.128,30.0908,-9.8,-3.14258
2.65,159,156.574,60,61.5157,0,6.30552,98.2196,102.917,24.03,14.2816,-9.8,-13.2935
2.66,159.6,157.87,60,56.6871,0,0.233228,98.4599,99.6483,23.932,17.2679,-9.8,-8.14513
2.67,160.2,163.453,60,50.3279,0,-2.97262,98.6992,98.1931,23.834,29.2359,-9.8,3.77956
2.68,160.8,158.995,60,56.6018,0,-1.05496,98.9376,102.145,23.736,27.8353,-9.8,-9.80701
2.69,161.4,170.508,60,63.8047,0,-2.78568,99.1749,101.545,23.638,21.892,-9.8,-6.14886
2.7,162,158.464,60,69.9044,0,-4.18084,99.4113,105.225,23.54,23.6934,-9.8,-9.56165
2.71,162.6,162.402,60,50.8713,0,-1.53775,99.6467,96.5876,23.442,16.8243,-9.8,-14.497
2.72,163.2,163.774,60,66.8461,0,4.57706,99.8811,100.052,23.344,21.0741,-9.8,-11.741
2.73,163.8,175.19,60,61.1042,0,-5.2345,100.115,100.914,23.246,22.1689,-9.8,-10.7334
2.74,164.4,175.124,60,53.195,0,-4.20002,100.347,99.1561,23.148,24.8199,-9.8,-7.50471
2.75,165,155.234,60,59.9063,0,2.28154,100.579,102.607,23.05,24.9166,-9.8,-12.1869
2.76,165.6,163.749,60,46.0594,0,4.69138,100.809,99.5274,22.952,31.9927,-9.8,-2.39797
2.77,166.2,167.969,60,68.6319,0,-5.49432,101.039,101.926,22.854,23.8256,-9.8,-18.4632
2.78,166.8,168.37,60,57.4247,0,3.21437,101.267,105.763,22.756,21.2539,-9.8,-8.48352
2.79,167.4,177.243,60,59.7048,0,-12.1978,101.495,105.479,22.658,19.6701,-9.8,-14.3712
2.8,168,171.051,60,54.6757,0,-2.49576,101.721,98.2106,22.56,24.3498,-9.8,-14.6169
2.81,168.6,176.016,60,70.3552,0,-1.5834,101.947,100.281,22.462,18.5792,-9.8,-7.2861
2.82,169.2,172.601,60,58.2085,0,-7.89867,102.171,98.8883,22.364,22.5665,-9.8,-11.2726
2.83,169.8,170.536,60,50.966,0,5.30808,102.395,105.032,22.266,23.9141,-9.8,-2.71838
2.84,170.4,170.383,60,62.2541,0,-3.21389,102.618,107.769,22.168,17.1144,-9.8,-7.93572
2.85,171,173.712,60,68.745,0,-4.15462,102.839,106.235,22.07,26.8845,-9.8,-11.5138
2.86,171.6,170.139,60,68.2403,0,4.3348,103.06,109.045,21.972,19.0331,-9.8,-12.0257
2.87,172.2,178.067,60,63.9872,0,3.63827,103.28,116.957,21.874,14.0667,-9.8,-4.63274
2.88,172.8,173.601,60,64.6828,0,-0.733259,103.499,100.238,21.776,25.1522,-9.8,-7.79495
2.89,173.4,175.666,60,63.8738,0,-0.69337,103.716,109.454,21.678,21.6021,-9.8,-11.8583
2.9,174,176.923,60,69.0651,0,7.55657,103.933,101.731,21.58,17.8167,-9.8,-7.15213
2.91,174.6,176.284,60,59.33,0,1.3266,104.149,104.113,21.482,15.7919,-9.8,-14.2139
2.92,175.2,167.802,60,60.0868,0,-3.95262,104.364,107.963,21.384,31.1846,-9.8,-3.37214
2.93,175.8,180.94,60,51.2539,0,5.91262,104.578,101.39,21.286,23.5561,-9.8,-6.92144
2.94,176.4,176.894,60,63.3973,0,13.4565,104.79,107.178,21.188,12.8497,-9.8,-8.21786
2.95,177,173.021,60,56.5615,0,-2.54732,105.002,104.882,21.09,22.0998,-9.8,-15.1172
2.96,177.6,174.099,60,65.1659,0,2.77427,105.213,99.2517,20.992,28.0815,-9.8,-8.20757
2.97,178.2,184.91,60,71.606,0,1.82722,105.423,101.023,20.894,24.9309,-9.8,-10.4464
2.98,178.8,177.805,60,69.8032,0,1.83373,105.632,110.673,20.796,21.521,-9.8,-4.9597
2.99,179.4,176.798,60,66.9065,0,-5.49085,105.84,104.765,20.698,15.7205,-9.8,-5.61511
3,180,189.662,60,69.0491,0,-0.209378,106.047,98.9019,20.6,26.7457,-9.8,-13.257
3.01,180.6,179.644,60,60.4854,0,-2.27008,106.253,110.703,20.502,18.4257,-9.8,-6.22288
3.02,181.2,180.605,60,63.2355,0,-11.4998,106.458,104.382,20.404,19.8718,-9.8,-9.63111
3.03,181.8,183.349,60,70.7203,0,0.0314113,106.662,102.475,20.306,20.7924,-9.8,-5.18459
3.04,182.4,186.664,60,62.2239,0,-1.47732,106.865,103.385,20.208,19.0379,-9.8,-5.44104
3.05,183,184.631,60,63.9215,0,-4.30751,107.067,106.275,20.11,17.86,-9.8,-12.7584
3.06,183.6,177.848,60,60.9728,0,-8.4158,107.268,98.3462,20.012,10.7217,-9.8,-15.9239
3.07,184.2,188.272,60,64.0348,0,1.34695,107.468,108.419,19.914,10.892,-9.8,-17.3611
3.08,184.8,184.096,60,64.325,0,0.00030336,107.668,109.889,19.816,25.3716,-9.8,-12.4707
3.09,185.4,187.363,60,55.5529,0,-0.344772,107.866,104.598,19.718,20.4877,-9.8,-16.2759
3.1,186,180.372,60,64.8075,0,4.85781,108.063,103.524,19.62,29.1944,-9.8,-9.58917
3.11,186.6,197.982,60,53.5709,0,-8.44528,108.259,107.435,19.522,13.6214,-9.8,-6.1801
3.12,187.2,190.745,60,61.5197,0,6.52919,108.454,98.6499,19.424,26.941,-9.8,-16.1267
3.13,187.8,193.137,60,55.8046,0,0.38706,108.649,101.502,19.326,8.94378,-9.8,-6.20351
3.14,188.4,183.16,60,54.3035,0,2.17744,108.842,113.211,19.228,19.0524,-9.8,-6.79605
3.15,189,189.997,60,52.7956,0,-5.8257,109.034,112.701,19.13,18.2458,-9.8,-6.90412
3.16,189.6,179.937,60,53.57,0,-5.71895,109.225,118.597,19.032,16.0234,-9.8,-11.1352
3.17,190.2,183.795,60,65.0357,0,0.541623,109.416,110.537,18.934,16.2516,-9.8,-10.0197
3.18,190.8,182.817,60,61.6719,0,8.10853,109.605,114.938,18.836,19.9568,-9.8,-9.03235
3.19,191.4,196.973,60,57.9422,0,6.91598,109.793,105.938,18.738,19.1243,-9.8,-7.7014
3.2,192,194.982,60,58.4895,0,5.37138,109.981,102.799,18.64,20.3776,-9.8,-8.88633
3.21,192.6,195.708,60,53.8099,0,-6.15886,110.167,102.426,18.542,12.5707,-9.8,-11.2424
3.22,193.2,199.51,60,58.3002,0,2.36637,110.353,110.242,18.444,18.0342,-9.8,-5.92691
3.23,193.8,197.546,60,57.6996,0,-8.49466,110.537,114.23,18.346,19.8614,-9.8,-5.9497
3.24,194.4,197.049,60,69.2613,0,5.99122,110.721,110.036,18.248,20.5311,-9.8,-8.39225
3.25,195,203.027,60,60.933,0,-2.19498,110.903,111.833,18.15,12.9987,-9.8,-5.53078
3.26,195.6,199.278,60,61.2353,0,-0.0531927,111.085,108.661,18.052,7.13681,-9.8,-8.93363
3.27,196.2,195.805,60,62.9452,0,-1.80304,111.265,112.338,17.954,19.2606,-9.8,-1.48368
3.28,196.8,198.038,60,56.3119,0,-13.5872,111.445,107.804,17.856,20.8686,-9.8,-19.4833
3.29,197.4,192.134,60,56.3751,0,3.72095,111.623,109.463,17.758,21.7709,-9.8,-10.1045
3.3,198,201.815,60,57.4256,0,-3.829,111.801,111.065,17.66,11.6649,-9.8,-11.0528
3.31,198.6,200.113,60,49.3764,0,-0.988242,111.977,110.048,17.562,27.8502,-9.8,-9.27236
3.32,199.2,187.623,60,63.2898,0,6.17466,112.153,109.745,17.464,20.316,-9.8,-4.00247
3.33,199.8,192.051,60,56.2101,0,3.46274,112.328,109.985,17.366,13.937,-9.8,-6.67015
3.34,200.4,195.179,60,54.8816,0,-3.2025,112.501,107.792,17.268,21.2471,-9.8,-20.7033
3.35,201,202.408,60,58.9911,0,2.99319,112.674,110.982,17.17,22.6695,-9.8,-5.67769
3.36,201.6,209.771,60,54.7706,0,-0.124061,112.846,116.047,17.072,22.5063,-9.8,-12.9763
3.37,202.2,198.826,60,64.301,0,5.21725,113.016,113.882,16.974,19.7668,-9.8,-13.1771
3.38,202.8,203.579,60,64.984,0,6.18152,113.186,99.93,16.876,13.0536,-9.8,-12.3703
3.39,203.4,202.468,60,60.8364,0,7.77947,113.355,118.696,16.778,24.2562,-9.8,-10.8795
3.4,204,203.675,60,56.916,0,3.45074,113.523,113.389,16.68,10.3923,-9.8,-7.65102
3.41,204.6,199.355,60,44.5598,0,-6.19548,113.689,105.467,16.582,14.1642,-9.8,-9.89017
3.42,205.2,205.978,60,67.2598,0,10.4353,113.855,115.116,16.484,15.1158,-9.8,-10.7412
3.43,205.8,199.179,60,68.4617,0,9.3107,114.02,117.683,16.386,6.48946,-9.8,-3.36327
3.44,206.4,204.893,60,53.8277,0,-1.29596,114.184,113.82,16.288,9.84877,-9.8,-10.1974
3.45,207,205.96,60,55.2529,0,2.1694,114.347,114.869,16.19,24.9434,-9.8,-11.7545
3.46,207.6,212.873,60,51.4825,0,2.31645,114.509,113.119,16.092,15.5414,-9.8,-18.5065
3.47,208.2,210.078,60,54.7079,0,6.32174,114.67,115.057,15.994,12.2194,-9.8,-10.8846
3.48,208.8,207.65,60,55.309,0,7.72049,114.83,117.206,15.896,17.5316,-9.8,-15.5724
3.49,209.4,218.579,60,62.7701,0,7.00557,114.989,112.681,15.798,16.2755,-9.8,-3.19806
3.5,210,209.062,60,61.0091,0,-0.430017,115.147,113.453,15.7,6.28711,-9.8,-10.7651
3.51,210.6,209.408,60,56.4631,0,-3.24048,115.304,121.695,15.602,14.6246,-9.8,-11.0726
3.52,211.2,208.28,60,65.5644,0,-0.775185,115.46,113.057,15.504,11.2383,-9.8,-20.0256
3.53,211.8,210.607,60,61.4002,0,-3.40012,115.615,114.401,15.406,24.1379,-9.8,-11.0568
3.54,212.4,203.356,60,66.4954,0,-5.75487,115.769,121.955,15.308,12.5579,-9.8,-10.7113
3.55,213,210.538,60,54.9918,0,-3.99554,115.922,118.247,15.21,17.8829,-9.8,-10.6891
3.56,213.6,217.817,60,57.0926,0,-9.98509,116.074,116.532,15.112,12.1683,-9.8,-7.62778
3.57,214.2,214.655,60,59.1158,0,-5.1651,116.225,125.097,15.014,11.7001,-9.8,-5.35052
3.58,214.8,207.981,60,62.9258,0,-1.21343,116.375,106.959,14.916,9.87802,-9.8,-16.8217
3.59,215.4,200.58,60,64.3179,0,0.958742,116.524,117.379,14.818,15.069,-9.8,-13.6446
3.6,216,223.304,60,57.1329,0,-5.34518,116.672,116.359,14.72,14.4504,-9.8,-12.9291
3.61,216.6,214.673,60,63.4457,0,8.72268,116.82,119.956,14.622,15.5841,-9.8,-7.31539
3.62,217.2,215.75,60,58.3514,0,-2.24841,116.966,114.056,14.524,7.20738,-9.8,-0.354589
3.63,217.8,217.291,60,65.109,0,-4.88932,117.111,116.768,14.426,13.9893,-9.8,-8.81458
3.64,218.4,221.836,60,60.175,0,-5.46667,117.255,122.368,14.328,18.08,-9.8,-10.5369
3.65,219,213.289,60,57.9915,0,-10.558,117.399,106.48,14.23,11.6793,-9.8,-13.3406
3.66,219.6,218.344,60,59.1269,0,-2.59105,117.541,116.531,14.132,2.34987,-9.8,-10.2398
3.67,220.2,219.704,60,58.1137,0,-6.57549,117.682,123.003,14.034,20.2945,-9.8,-8.86964
3.68,220.8,221.17,60,54.7274,0,-7.92665,117.823,116.283,13.936,19.5561,-9.8,-21.5503
3.69,221.4,233.906,60,61.7555,0,12.5133,117.962,121.993,13.838,13.3109,-9.8,-8.15924
3.7,222,225.678,60,69.626,0,9.72869,118.1,124.066,13.74,10.1076,-9.8,-14.2219
3.71,222.6,223.453,60,55.4738,0,1.07922,118.238,116.649,13.642,15.1465,-9.8,-2.09397
3.72,223.2,217.264,60,50.0892,0,5.34864,118.374,114.685,13.544,13.388,-9.8,-6.22396
3.73,223.8,215.921,60,60.0344,0,-6.10763,118.51,115.786,13.446,15.3139,-9.8,-3.42113
3.74,224.4,220.77,60,54.1544,0,2.07391,118.644,119.965,13.348,12.7458,-9.8,-16.1406
3.75,225,220.688,60,64.6122,0,-5.84641,118.778,118.715,13.25,18.4674,-9.8,-5.86001
3.76,225.6,222.531,60,56.0505,0,1.42939,118.91,133.137,13.152,9.33314,-9.8,-8.28296
3.77,226.2,230.92,60,57.469,0,-1.51293,119.042,117.009,13.054,18.6612,-9.8,-5.00741
3.78,226.8,221.332,60,65.1275,0,8.26126,119.172,121.411,12.956,12.14,-9.8,-4.66275
3.79,227.4,231.069,60,50.9938,0,-5.54655,119.302,127.429,12.858,11.4631,-9.8,-6.05776
3.8,228,222.591,60,56.5368,0,4.45963,119.43,112.499,12.76,12.7585,-9.8,-1.34622
3.81,228.6,232.08,60,59.8968,0,3.72447,119.558,123.872,12.662,8.36275,-9.8,-10.1973
3.82,229.2,236.489,60,55.9514,0,-5.98527,119.684,118.813,12.564,15.6588,-9.8,-9.12069
3.83,229.8,230.131,60,60.4459,0,-2.89642,119.81,114.801,12.466,15.6302,-9.8,-0.23474
3.84,230.4,229.627,60,60.5238,0,-3.72916,119.935,119.879,12.368,12.3001,-9.8,-10.9765
3.85,231,234.217,60,63.3165,0,-6.42794,120.058,120.496,12.27,16.0088,-9.8,-12.6392
3.86,231.6,233.297,60,60.1316,0,1.82427,120.181,115.376,12.172,13.2757,-9.8,-9.62343
3.87,232.2,237.802,60,55.6313,0,12.0901,120.303,125.73,12.074,11.2996,-9.8,-8.71599
3.88,232.8,236.574,60,64.5379,0,1.46313,120.424,126.859,11.976,20.1062,-9.8,0.914
3.89,233.4,237.515,60,71.1388,0,0.558779,120.543,118.436,11.878,5.00899,-9.8,-12.1823
3.9,234,239.761,60,58.1122,0,3.03227,120.662,121.719,11.78,13.0421,-9.8,-6.33995
3.91,234.6,230.273,60,57.0496,0,2.11405,120.78,122.46,11.682,8.67648,-9.8,-24.1312
3.92,235.2,230.026,60,65.9707,0,-0.724599,120.897,118.83,11.584,11.3113,-9.8,-5.48889
3.93,235.8,232.968,60,47.4002,0,10.7848,121.013,123.992,11.486,8.9253,-9.8,-17.662
3.94,236.4,241.421,60,69.3253,0,8.56825,121.127,116.212,11.388,9.07184,-9.8,-9.35446
3.95,237,235.247,60,60.7291,0,-0.0162007,121.241,113.139,11.29,13.5977,-9.8,-9.55168
3.96,237.6,236.094,60,65.8838,0,-1.40371,121.354,124.881,11.192,5.00662,-9.8,-5.22433
3.97,238.2,245.233,60,68.0615,0,1.06758,121.466,119.371,11.094,16.2411,-9.8,2.36576
3.98,238.8,245.038,60,49.108,0,-2.11645,121.577,122.35,10.996,11.3672,-9.8,-14.1761
3.99,239.4,231.868,60,62.7236,0,3.99708,121.687,125.357,10.898,14.4425,-9.8,-7.16548
4,240,235.958,60,54.7672,0,5.19128,121.796,131.002,10.8,6.68627,-9.8,-4.44283
4.01,240.6,240.504,60,57.9162,0,0.798346,121.904,125.274,10.702,8.88938,-9.8,-9.45403
4.02,241.2,250.236,60,64.051,0,0.576462,122.011,120.76,10.604,6.8588,-9.8,-15.6565
4.03,241.8,236.387,60,61.3105,0,-6.31205,122.117,128.355,10.506,17.4521,-9.8,-3.81436
4.04,242.4,244.163,60,58.8827,0,-0.231887,122.222,121.742,10.408,6.02064,-9.8,-8.80465
4.05,243,249.627,60,61.747,0,6.66594,122.326,130.173,10.31,12.4938,-9.8,-16.6061
4.06,243.6,249.093,60,70.1083,0,3.47892,122.429,119.403,10.212,7.52408,-9.8,-7.11666
4.07,244.2,246.974,60,57.9923,0,9.03887,122.531,128.511,10.114,17.0709,-9.8,-9.04251
4.08,244.8,245.492,60,63.5444,0,7.82464,122.633,117.646,10.016,10.4779,-9.8,-19.1067
4.09,245.4,246.185,60,73.4183,0,5.57054,122.733,117.894,9.918,6.93301,-9.8,-8.07548
4.1,246,249.109,60,60.3359,0,-0.424774,122.832,131.009,9.82,7.07373,-9.8,-11.0104
4.11,246.6,251.286,60,62.2658,0,-8.18876,122.93,123.627,9.722,13.8596,-9.8,-11.912
4.12,247.2,256.416,60,64.6992,0,11.2747,123.027,120.303,9.624,9.29319,-9.8,-1.29572
4.13,247.8,243.106,60,56.9915,0,2.37135,123.124,119.347,9.526,4.24122,-9.8,-5.56806
4.14,248.4,249.541,60,64.499,0,1.17839,123.219,121.018,9.428,12.1514,-9.8,-4.13983
4.15,249,236.347,60,58.6404,0,-2.19555,123.313,134.03,9.33,7.87403,-9.8,-9.73427
4.16,249.6,247.824,60,66.0313,0,3.01264,123.406,115.744,9.232,6.33587,-9.8,-11.8451
4.17,250.2,253.186,60,62.3279,0,6.13813,123.499,118.711,9.134,9.22934,-9.8,-5.25547
4.18,250.8,253.905,60,53.6872,0,-3.57747,123.59,123.779,9.036,10.5976,-9.8,-8.66871
4.19,251.4,262.907,60,63.8236,0,0.136738,123.68,122.905,8.938,9.40451,-9.8,-11.1623
4.2,252,252.61,60,56.5881,0,1.17397,123.77,122.696,8.84,7.33089,-9.8,-15.7897
4.21,252.6,254.412,60,57.4893,0,0.0465746,123.858,114.937,8.742,8.75241,-9.8,-14.4632
4.22,253.2,251.331,60,59.7058,0,5.38835,123.946,124.787,8.644,15.3894,-9.8,-23.2227
4.23,253.8,264.624,60,67.836,0,0.261281,124.032,116.271,8.546,9.38711,-9.8,-13.844
4.24,254.4,245.553,60,57.7042,0,-7.08728,124.118,127.558,8.448,5.44218,-9.8,-0.242026
4.25,255,258.195,60,56.7746,0,4.45026,124.202,121.116,8.35,8.09107,-9.8,-3.7135
4.26,255.6,255.405,60,61.2336,0,3.36978,124.286,123.879,8.252,7.77276,-9.8,-12.286
4.27,256.2,258.6,60,49.1018,0,-1.75665,124.368,123.989,8.154,12.3067,-9.8,-9.29885
4.28,256.8,262.732,60,59.7405,0,-3.82852,124.45,123.114,8.056,13.7626,-9.8,-4.79352
4.29,257.4,253.819,60,61.9962,0,9.48298,124.53,130.591,7.958,-0.569677,-9.8,-16.5791
4.3,258,260.733,60,57.0177,0,4.6382,124.61,119.121,7.86,11.344,-9.8,-0.332778
4.31,258.6,258.533,60,63.3851,0,5.01215,124.688,115.969,7.762,4.4928,-9.8,-0.870792
4.32,259.2,261.37,60,56.1629,0,-1.83033,124.766,119.627,7.664,1.86337,-9.8,-9.69851
4.33,259.8,262.635,60,62.0837,0,-0.928523,124.843,124.257,7.566,7.062,-9.8,-9.24215
4.34,260.4,259.243,60,65.4319,0,-5.64539,124.918,124.213,7.468,9.14477,-9.8,-10.1551
4.35,261,249.034,60,66.3208,0,-3.70632,124.993,124.5,7.37,8.63808,-9.8,-13.6976
4.36,261.6,261.364,60,54.7256,0,-12.6326,125.067,115.93,7.272,9.7783,-9.8,-12.9636
4.37,262.2,263.81,60,54.9865,0,-3.89683,125.139,130.656,7.174,9.52685,-9.8,-15.0864
4.38,262.8,263.592,60,68.8135,0,-4.07242,125.211,133.65,7.076,8.75828,-9.8,-3.9919
4.39,263.4,265.033,60,68.3597,0,-9.19701,125.282,126.211,6.978,3.47494,-9.8,-7.70113
4.4,264,259.626,60,62.4405,0,-6.86038,125.352,130.37,6.88,12.3167,-9.8,-12.4545
4.41,264.6,269.379,60,55.0666,0,6.60669,125.42,125.028,6.782,-2.24788,-9.8,-19.6214
4.42,265.2,268.327,60,66.7751,0,-4.0779,125.488,122.336,6.684,8.26072,-9.8,-9.00977
4.43,265.8,257.356,60,67.9098,0,-9.99778,125.555,123.502,6.586,-2.92762,-9.8,-22.0211
4.44,266.4,259.739,60,60.6471,0,6.42589,125.621,119.664,6.488,1.30357,-9.8,-3.89557
4.45,267,264.812,60,55.9449,0,-3.62067,125.686,128.556,6.39,8.16742,-9.8,-3.22652
4.46,267.6,267.902,60,67.6316,0,-3.71736,125.75,125.27,6.292,6.25847,-9.8,-13.4453
4.47,268.2,268.905,60,60.9817,0,0.489937,125.813,127.308,6.194,2.49689,-9.8,-18.8873
4.48,268.8,263.382,60,70.4983,0,-4.50677,125.875,124.84,6.096,15.1022,-9.8,-15.2812
4.49,269.4,270.461,60,66.3944,0,-0.709336,125.936,125.164,5.998,11.3423,-9.8,-2.4125
4.5,270,272.643,60,61.2541,0,-4.8611,125.996,124.85,5.9,6.88645,-9.8,-8.24547
4.51,270.6,262.153,60,56.0163,0,-4.26114,126.055,118.302,5.802,5.51677,-9.8,-3.44114
4.52,271.2,274.522,60,58.6949,0,-0.422263,126.113,123.837,5.704,12.8218,-9.8,-9.32508
4.53,271.8,262.558,60,50.2324,0,-1.38029,126.17,123.824,5.606,6.5977,-9.8,-5.36856
4.54,272.4,269.584,60,49.6338,0,3.39628,126.226,129.227,5.508,11.1535,-9.8,-5.94224
4.55,273,274.796,60,59.6856,0,0.268336,126.281,126.73,5.41,8.02458,-9.8,-13.2858
4.56,273.6,276.295,60,60.2802,0,8.30646,126.335,122.198,5.312,2.4079,-9.8,-17.2129
4.57,274.2,282.982,60,61.4366,0,-5.8552,126.388,126.384,5.214,8.05402,-9.8,-1.9427
4.58,274.8,274.236,60,57.5034,0,1.89357,126.44,128.501,5.116,7.82441,-9.8,-8.05202
4.59,275.4,276.375,60,61.6846,0,4.75241,126.491,126.364,5.018,0.0850018,-9.8,-1.52867
4.6,276,274.158,60,56.8531,0,-6.8454,126.541,124.769,4.92,7.54328,-9.8,-3.54258
4.61,276.6,279.813,60,57.498,0,-6.00123,126.591,129.75,4.822,3.98238,-9.8,-13.1313
4.62,277.2,280.165,60,60.3419,0,-0.252883,126.639,130.22,4.724,-1.85963,-9.8,-8.65388
4.63,277.8,281.098,60,56.9388,0,-0.964825,126.686,124.224,4.626,0.0301794,-9.8,-5.63059
4.64,278.4,286.977,60,60.9784,0,3.18176,126.732,126.54,4.528,6.09304,-9.8,-12.4255
4.65,279,277.246,60,74.02,0,-4.68684,126.778,133.346,4.43,-2.63258,-9.8,-11.5628
4.66,279.6,285.725,60,62.0804,0,-0.0639938,126.822,134.767,4.332,-1.75018,-9.8,-9.1308
4.67,280.2,276.864,60,71.015,0,-1.78053,126.865,137.747,4.234,0.147618,-9.8,-12.6878
4.68,280.8,286.317,60,60.1798,0,-1.65042,126.908,122.92,4.136,3.67816,-9.8,-10.5465
4.69,281.4,282.656,60,56.4219,0,-1.39915,126.949,127.223,4.038,6.02889,-9.8,-1.97293
4.7,282,282.636,60,58.61,0,-0.689213,126.989,125.275,3.94,11.7222,-9.8,-8.80677
4.71,282.6,279.379,60,73.0563,0,-5.0019,127.029,120.497,3.842,4.20135,-9.8,-2.83394
4.72,283.2,282.626,60,55.1831,0,-5.80053,127.067,122.624,3.744,11.6177,-9.8,-2.65765
4.73,283.8,282.854,60,65.5178,0,1.206,127.105,124.385,3.646,4.47558,-9.8,-9.42388
4.74,284.4,294.56,60,60.9136,0,-3.89291,127.141,116.149,3.548,5.41836,-9.8,-2.56468
4.75,285,280.932,60,50.5885,0,-1.32136,127.177,130.052,3.45,7.54036,-9.8,-10.2764
4.76,285.6,288.232,60,58.4087,0,7.40579,127.211,124.393,3.352,0.774155,-9.8,-8.74735
4.77,286.2,274.093,60,62.9265,0,5.63772,127.245,130.522,3.254,8.76584,-9.8,-11.3559
4.78,286.8,281.829,60,55.2937,0,-2.86855,127.277,121.131,3.156,3.72673,-9.8,-11.4017
4.79,287.4,289.186,60,57.0489,0,-3.39244,127.309,118.732,3.058,5.9243,-9.8,-15.7302
4.8,288,295.654,60,61.7503,0,6.53988,127.339,133.59,2.96,8.99878,-9.8,-11.494
4.81,288.6,284.412,60,59.5421,0,-1.12708,127.369,132.621,2.862,-0.017804,-9.8,-11.5522
4.82,289.2,281.785,60,56.5245,0,12.5176,127.397,134.698,2.764,1.61852,-9.8,-6.60182
4.83,289.8,292.586,60,59.8471,0,-4.86991,127.425,125.876,2.666,-4.66023,-9.8,-12.0966
4.84,290.4,293.2,60,65.6044,0,-5.10986,127.452,132.963,2.568,10.3565,-9.8,-14.0923
4.85,291,286.148,60,55.642,0,-11.8287,127.477,130.157,2.47,3.32033,-9.8,-7.63466
4.86,291.6,293.524,60,61.608,0,-2.64838,127.502,123.591,2.372,-4.48497,-9.8,-11.1481
4.87,292.2,285.948,60,47.4462,0,-10.0744,127.526,118.565,2.274,0.959567,-9.8,-13.0698
4.88,292.8,286.355,60,63.6352,0,-1.73441,127.549,126.706,2.176,-5.77017,-9.8,-11.2035
4.89,293.4,292.018,60,64.908,0,-3.64325,127.57,125.355,2.078,10.8922,-9.8,-11.0393
4.9,294,296.332,60,57.1996,0,-2.50103,127.591,124.164,1.98,0.65701,-9.8,-8.81747
4.91,294.6,293.108,60,59.1386,0,1.35172,127.611,131.693,1.882,3.30413,-9.8,-11.8718
4.92,295.2,286.647,60,57.5604,0,-3.53018,127.63,126.43,1.784,-1.09615,-9.8,-16.5578
4.93,295.8,303.619,60,53.7492,0,5.35704,127.648,118.141,1.686,6.47418,-9.8,-11.7652
4.94,296.4,297.304,60,67.7934,0,-0.775985,127.664,135.087,1.588,0.875621,-9.8,-10.811
4.95,297,299.571,60,61.7747,0,-1.66037,127.68,122.201,1.49,-5.53123,-9.8,-10.1789
4.96,297.6,300.072,60,73.1886,0,2.46835,127.695,123.783,1.392,1.93301,-9.8,-3.17657
4.97,298.2,299.028,60,57.4696,0,1.0908,127.709,122.98,1.294,7.42751,-9.8,-9.44463
4.98,298.8,293.137,60,66.4689,0,4.32679,127.722,117.7,1.196,2.0525,-9.8,-2.19407
4.99,299.4,296.216,60,70.6243,0,10.6602,127.734,123.427,1.098,5.20128,-9.8,-9.8309
5,300,294.815,60,56.7718,0,8.5203,127.745,122.32,1,3.20096,-9.8,-12.2281
